Codigo,Nome,Preco
KTNX68,Laranja Abacaxi,714.19
JAS2ET,Pera Maca,277.74
UQHFWW,Maca Maca,600.2
8HNXKD,Banana Pera,512.44
NT3ETS,Uva Morango,372.56
ER70UL,Morango Kiwi,316.57
AWP2WL,Banana Laranja,32.29
IYI7O0,Uva Banana,499.39
QZZ1HH,Abacaxi Uva,3.01
Q5NDIT,Banana Melancia,958.2
XP41IR,Abacaxi Kiwi,362.14
DNNBFX,Maca Uva,97.55
I1DQYE,Melao Banana,715.47
NO34RU,Kiwi Morango,352.31
PQMNMP,Laranja Kiwi,502.22
YV0MOO,Pera Laranja,591.79
KB5TLR,Banana Uva,286.49
M9IRX0,Laranja Melancia,705.04
F2XYN5,Morango Laranja,706.44
11BLS4,Pera Laranja,897.07
T1GNQJ,Pera Abacaxi,296.71
XC27YY,Melancia Kiwi,971.19
M3AGRX,Uva Uva,194.76
MLLH5J,Kiwi Uva,123.91
M8PX3B,Uva Pera,590.49
DZLZSU,Abacaxi Maca,901.37
UVKZX5,Melancia Kiwi,167.17
LVZY9S,Laranja Maca,127.57
2JJ4X5,Pera Melao,333.09
KD5OZ2,Maca Melao,318.11
7WCK2G,Abacaxi Melao,44.38
SE3L78,Pera Melao,364.34
E6HUPA,Morango Banana,588.2
OZ40OO,Laranja Melancia,630.73
6F2WSJ,Morango Melao,242.41
A8Y3F6,Morango Melao,561.57
APC35K,Laranja Morango,809.77
Q6MFQ2,Melancia Maca,939.86
TST25M,Kiwi Melancia,625.42
N5Y42Q,Pera Melao,822.21
NOHB2C,Kiwi Pera,783.13
45T5UO,Melao Uva,812.86
F01RZF,Abacaxi Melao,428.45
5A7SZ5,Banana Uva,909.78
89UEML,Banana Uva,158.71
0URXTY,Morango Pera,239.55
25U2VL,Maca Melancia,466.92
HM0DSZ,Maca Morango,341.34
8ULF1D,Melao Melancia,87.64
N0NVBZ,Morango Melao,538.74
9E2CIM,Kiwi Morango,96.51
Q5ZKNX,Maca Pera,932.43
82Z0F9,Banana Pera,829.53
9SRUXP,Maca Laranja,171.05
OBAEYM,Maca Uva,321.9
N8XCJC,Maca Maca,440.9
2GJ0XQ,Laranja Kiwi,105.56
27Y1C3,Laranja Kiwi,709.32
G12WW0,Pera Melancia,423.35
2EEV4F,Abacaxi Melancia,182.58
CC5ON3,Banana Uva,640.3
983XSA,Melao Abacaxi,150.06
0HYMVJ,Banana Pera,891.23
29PEJD,Banana Melancia,976.13
DL31A0,Uva Abacaxi,609.79
2B908Z,Pera Uva,458.17
E8F69D,Melancia Melancia,258.46
3P7GB2,Maca Abacaxi,941.13
S3E554,Melao Abacaxi,520.26
758JG1,Abacaxi Abacaxi,160.08
NO98FC,Melancia Morango,18.09
1QCP6W,Melao Melao,753.94
ZCFRW7,Laranja Uva,566.74
AIZ4EP,Laranja Morango,120.86
6GCQKS,Pera Melancia,960.92
UTSHL5,Melancia Uva,580.61
IW4GVS,Banana Melao,334.66
PHUAAZ,Laranja Melancia,760.93
PYAOGE,Melao Kiwi,279.96
3SAGUB,Banana Melao,453.13
RP8O4D,Abacaxi Morango,256.33
VEJW8L,Banana Pera,203.16
BLK5RU,Banana Maca,408.32
A36TTL,Melao Pera,51.39
0TGOLN,Abacaxi Melancia,519.81
HAK8U6,Pera Laranja,850.76
TGHOAZ,Abacaxi Abacaxi,808.69
YX4LXX,Melao Kiwi,283.88
S9B4HT,Maca Morango,341.09
3V2FYD,Melancia Uva,946.17
XDJZQS,Kiwi Maca,710.89
2V1VWR,Banana Melancia,687.45
8QFNU7,Morango Kiwi,84.68
2FSKR2,Melancia Uva,712.44
76D4JE,Kiwi Abacaxi,422.43
MOQDN9,Abacaxi Maca,558.0
0UQ2CH,Pera Laranja,586.56
V6YA4C,Abacaxi Melao,927.56
YFUFL9,Banana Abacaxi,132.56
0H5B79,Morango Melancia,603.5
9D4KBH,Kiwi Laranja,136.89
55PYCA,Morango Melancia,143.24
HXZYO5,Banana Morango,167.53
MK452W,Banana Melao,998.11
PWQA1E,Laranja Banana,772.18
LLSKM6,Maca Kiwi,915.23
OYGAI1,Banana Morango,195.19
N907NF,Morango Melao,774.35
8JE13O,Melancia Maca,26.54
DCD5BW,Maca Kiwi,279.89
SHXXW1,Melao Maca,821.23
R1CZNG,Abacaxi Laranja,190.39
E5D6QP,Melao Uva,499.28
PE1AL8,Abacaxi Kiwi,973.87
8XECXV,Melancia Pera,374.96
4OYZ18,Uva Pera,84.58
05BQI7,Abacaxi Melancia,901.46
6ME1HG,Banana Pera,952.06
P2ASDH,Uva Laranja,947.98
C9RLWM,Melancia Laranja,399.67
GWI5ZL,Melao Kiwi,569.27
UNZWF4,Kiwi Banana,615.28
K8DQQ7,Melao Abacaxi,873.05
MFAGL6,Pera Abacaxi,825.48
UJPSF6,Morango Abacaxi,553.06
JISTBW,Pera Banana,28.23
QN819F,Abacaxi Kiwi,788.14
CC9YVY,Melancia Laranja,838.07
4K7I04,Maca Kiwi,588.57
1FDYCM,Uva Melao,995.27
0MCQKN,Melao Melancia,263.13
2JCYL9,Kiwi Melancia,701.68
CBLSKD,Morango Laranja,463.96
IUGSVK,Melancia Abacaxi,684.25
QCTIR9,Melao Morango,830.6
C2602X,Laranja Melancia,651.75
7QYTL5,Melao Maca,440.69
YZ8JVY,Maca Melao,922.57
RHI0SD,Melao Banana,143.71
I4YY3N,Morango Pera,266.96
ZGWMY9,Maca Laranja,378.95
1LPQHF,Kiwi Abacaxi,122.32
TCVZLV,Abacaxi Laranja,540.69
U4DSPJ,Kiwi Kiwi,479.42
2WUSN9,Laranja Pera,78.22
TOG4SW,Banana Abacaxi,770.39
2W9XQY,Melancia Uva,194.48
DKYDJO,Pera Laranja,366.25
UXJG88,Abacaxi Abacaxi,838.67
Q57B26,Kiwi Banana,554.08
KW3357,Abacaxi Pera,901.32
D6AIQH,Maca Maca,628.8
495XRW,Laranja Melancia,35.36
8X4E1F,Morango Pera,145.23
BMFEOK,Pera Uva,778.24
IG6GFD,Uva Laranja,849.32
C76NO7,Maca Morango,17.93
8OFUNN,Abacaxi Banana,148.92
NA8668,Uva Banana,535.08
G4GENG,Melancia Banana,958.38
LM6BGD,Morango Laranja,688.09
066EXL,Maca Maca,202.11
ZPQR8L,Uva Maca,548.43
1FP7JH,Banana Morango,528.24
WB2KY1,Kiwi Pera,711.9
39SH3L,Morango Laranja,371.21
CCCRTX,Kiwi Maca,873.32
TOLDBH,Maca Kiwi,553.33
BNR28S,Banana Pera,514.29
VISLZ2,Melao Morango,336.5
YFY4VB,Maca Pera,698.02
3K563Z,Kiwi Melancia,593.34
1NF6O4,Melao Pera,114.0
RPW0QI,Laranja Uva,735.11
YAROZD,Pera Abacaxi,581.12
52HCJB,Kiwi Melao,577.05
4CMX6G,Morango Melao,323.12
NPDY77,Melancia Melao,106.24
Y0N69B,Banana Morango,1.1
GE59NO,Pera Laranja,383.77
KQTK7Y,Laranja Kiwi,669.05
0FT8JL,Melancia Morango,200.71
UEHCL8,Melancia Banana,869.83
1BOWFP,Maca Morango,179.0
Q6EDSG,Melao Melancia,665.08
NUHDC3,Melancia Melancia,261.01
63CA16,Laranja Abacaxi,409.35
8DJOHK,Maca Banana,211.65
E88K25,Melao Laranja,679.65
33BVRJ,Maca Pera,927.04
9WKVKY,Maca Melancia,354.22
689U5T,Abacaxi Morango,939.98
52AQ91,Laranja Maca,110.91
0U80VF,Pera Melancia,411.39
P08BI6,Melao Laranja,843.68
XMREN2,Melao Maca,9.6
5DHSU0,Kiwi Uva,241.71
U24KIO,Uva Pera,613.1
D17YON,Abacaxi Abacaxi,116.06
QCPACO,Uva Morango,56.12
TY27B1,Kiwi Uva,857.95
3MZ404,Banana Abacaxi,74.49
CQTCR0,Laranja Banana,609.36
IQV0I2,Maca Abacaxi,566.46
NL2UGL,Kiwi Banana,401.76
AYME61,Melancia Uva,258.4
5GAOKH,Melancia Melao,685.53
VON292,Uva Banana,5.46
54EJT3,Uva Abacaxi,907.4
AXCUE5,Pera Banana,686.03
M42XRY,Laranja Banana,426.24
YAEP64,Abacaxi Melao,553.16
K35IQO,Pera Pera,517.25
VGVS1L,Melancia Uva,293.7
0TWUGH,Kiwi Morango,314.24
YAL04I,Pera Abacaxi,180.34
0RJNT4,Pera Laranja,962.31
FMUU3S,Maca Morango,389.53
K9ZG2E,Laranja Banana,74.66
EEE9C4,Laranja Melancia,658.69
GEQDPG,Laranja Maca,568.01
OH0MA0,Kiwi Melao,598.35
JDNYME,Uva Pera,309.72
CZD3XK,Abacaxi Melao,105.66
B74GNQ,Melao Laranja,803.01
BOH18I,Laranja Banana,491.93
R4HUK8,Melancia Banana,121.59
PQP2W8,Pera Laranja,940.05
UWLKBW,Abacaxi Maca,492.09
O3HPS3,Morango Uva,756.32
56RRUG,Morango Banana,666.82
P7LURD,Pera Banana,591.31
T2178V,Abacaxi Morango,298.86
J2SVB5,Abacaxi Abacaxi,296.66
C1UDML,Maca Maca,278.35
V90QK0,Abacaxi Maca,822.52
TSXFH1,Uva Laranja,853.13
PT3B7Q,Kiwi Melao,806.48
7AL0QD,Laranja Laranja,986.79
XXZ2YA,Uva Pera,806.45
P0ZX9L,Maca Laranja,257.23
QXZER2,Banana Banana,359.85
DX0O58,Banana Banana,843.96
0G7975,Melao Laranja,967.58
H9Q5PG,Uva Pera,411.87
425U71,Melancia Laranja,845.31
QKA6Q0,Melancia Abacaxi,40.85
UOYWPV,Melancia Uva,852.92
GVBHP4,Kiwi Laranja,396.97
WMJJCX,Banana Uva,426.93
58N3GK,Banana Kiwi,596.53
622WQR,Melao Uva,846.65
YN9WPL,Kiwi Pera,5.26
D5S5DJ,Laranja Melancia,253.37
10ELGD,Melao Uva,443.56
Y2XGR8,Abacaxi Melao,203.76
UY77FG,Abacaxi Abacaxi,355.16
R4TV8W,Laranja Banana,137.47
8QM795,Banana Kiwi,798.83
QUTIJD,Morango Abacaxi,480.84
MJBNPZ,Morango Uva,21.49
45RT7L,Abacaxi Uva,102.89
DLFSPU,Maca Uva,716.19
0643DN,Maca Laranja,972.12
3JSFY6,Morango Melancia,455.42
VJ1REN,Kiwi Uva,207.88
828JBW,Melancia Laranja,37.64
U2R3V3,Abacaxi Maca,507.43
QAAPLZ,Melancia Pera,817.38
N0N892,Morango Pera,270.59
ZIKM6W,Kiwi Maca,222.37
THNUXJ,Pera Melancia,127.99
OEUROU,Uva Pera,509.59
LGRFDP,Morango Uva,424.26
UCT84I,Melao Abacaxi,260.16
J8BXTN,Banana Kiwi,598.92
PKZ85E,Kiwi Pera,756.58
BD3SE2,Uva Melao,357.49
7BR9QK,Pera Pera,408.01
YY1WKF,Melao Melao,236.61
HCDOPI,Maca Abacaxi,505.64
M6S0LO,Morango Abacaxi,411.0
ZLJQD9,Kiwi Melancia,465.66
5QEWXE,Melao Uva,834.65
YWQ4K9,Maca Melao,457.39
0794XE,Melao Uva,817.52
8IJKBV,Uva Maca,783.16
3DWZKK,Banana Banana,210.68
PSPSNG,Banana Melao,919.26
F9AH5P,Melancia Morango,696.43
OHKLLE,Kiwi Maca,389.6
Q2E0XI,Pera Abacaxi,662.82
YT7W3B,Morango Melancia,519.77
RTVI4D,Uva Uva,339.54
7BQEO3,Uva Laranja,302.44
Q7TH5W,Melancia Banana,644.04
5JGQKK,Abacaxi Uva,463.17
63U1H3,Pera Banana,90.24
0U4F2P,Kiwi Melancia,518.66
6VBLJ6,Laranja Kiwi,559.81
D2WOIF,Laranja Pera,224.89
0T98IL,Laranja Banana,641.97
GURXRI,Laranja Kiwi,672.16
3EEKCY,Pera Maca,173.09
8KNE7Z,Laranja Laranja,362.56
8C4D4A,Melao Pera,475.44
6C5D0E,Abacaxi Morango,752.03
INDEG6,Melancia Kiwi,395.51
0FFFUH,Pera Kiwi,923.84
78Y1PH,Morango Morango,68.4
Q9OUG5,Maca Laranja,105.58
F9M9UT,Maca Melancia,2.87
JFKFB5,Morango Kiwi,618.84
KLH7BB,Kiwi Melancia,15.3
XPTMXM,Maca Uva,726.01
ETX801,Abacaxi Pera,139.21
2SA85U,Uva Uva,684.84
N3U2FO,Melao Banana,377.47
6NVHNJ,Uva Kiwi,388.36
A176Z7,Maca Uva,649.78
VYBKZK,Melao Melancia,670.73
10U7MY,Abacaxi Kiwi,367.31
L9V75A,Kiwi Maca,910.3
8BBH10,Melao Maca,178.55
4JLFNE,Kiwi Maca,735.05
PY0CGR,Laranja Maca,812.76
S6NB2B,Abacaxi Maca,303.14
HT258D,Pera Melancia,793.0
9ESE22,Abacaxi Pera,86.46
WVW57Y,Pera Melancia,628.68
AYHULI,Pera Maca,36.09
5NJFJW,Kiwi Laranja,731.74
7M6RK9,Maca Laranja,291.09
M4YEON,Uva Melancia,49.87
U83BKS,Melancia Abacaxi,18.01
XL9C3V,Uva Abacaxi,711.51
OWXC0M,Abacaxi Abacaxi,924.24
1BLKIZ,Maca Pera,561.37
M1E26L,Melao Banana,735.8
5KUPQJ,Kiwi Pera,251.9
6ZSYHR,Maca Uva,309.26
3SK2H7,Melancia Melao,456.74
2ABV3E,Kiwi Abacaxi,767.7
4NW6ZE,Morango Morango,993.99
KDA209,Melancia Uva,326.53
EHSF1T,Laranja Melancia,148.76
C8ITXC,Abacaxi Melao,711.41
P4JSOB,Laranja Banana,488.47
H8VJRU,Maca Melancia,245.3
O8L9IK,Abacaxi Melao,918.24
1PIPEL,Laranja Maca,416.96
XN2EY5,Banana Melao,395.09
3Z5B9V,Pera Morango,38.97
KZG3IP,Abacaxi Abacaxi,420.27
AODJAS,Melancia Maca,264.58
2V0V6V,Uva Melancia,512.58
EOFRJZ,Melao Banana,427.51
1IW162,Laranja Maca,276.71
E08G3Y,Maca Laranja,325.66
1C412H,Uva Banana,808.09
7TPRKS,Laranja Uva,721.61
LA0TUQ,Pera Kiwi,722.4
QW9WAX,Abacaxi Uva,87.07
U5SR1N,Abacaxi Melancia,716.66
M8BAYX,Abacaxi Maca,523.9
IUJ5R8,Pera Melancia,415.26
6TI07U,Laranja Laranja,783.94
S7ZQPA,Kiwi Maca,907.06
XML6XT,Kiwi Laranja,47.35
8SEEWO,Uva Abacaxi,955.91
JIVS1J,Pera Abacaxi,235.58
JBBT3J,Kiwi Banana,531.07
8HLV9X,Maca Abacaxi,990.65
74ULRC,Maca Abacaxi,636.51
AGJ8Q6,Abacaxi Morango,329.71
80G7S0,Banana Laranja,930.91
IPQHGS,Morango Morango,554.65
VDSNYQ,Laranja Maca,903.16
Z4FGDK,Uva Laranja,1.79
U5XTK3,Kiwi Pera,334.78
4WPE5Q,Melancia Melancia,572.33
QSM6S1,Melancia Uva,979.11
VY47ON,Melao Banana,483.62
M1SZHC,Uva Laranja,939.87
R1KRF6,Melao Maca,520.27
E08KJU,Morango Abacaxi,928.85
GTMMK9,Melao Laranja,866.3
Q0BH1J,Kiwi Kiwi,333.86
HF9SOJ,Kiwi Kiwi,610.28
EY7FEA,Melancia Maca,276.43
F3DPJI,Pera Maca,523.94
Q4OI2W,Melancia Morango,196.7
HFPNC2,Uva Abacaxi,989.39
NKHZ5N,Maca Melao,574.63
VKO9VB,Melao Laranja,222.04
HC0ZHW,Kiwi Banana,855.86
A0TZN4,Kiwi Uva,133.14
R8H9CA,Maca Pera,449.78
GI3RBN,Melancia Pera,779.07
HPRM9F,Melancia Maca,912.32
YXVA1W,Laranja Laranja,921.45
9R3I6P,Laranja Banana,73.25
N0OJ7R,Melao Abacaxi,952.71
W0VTQM,Pera Pera,320.77
53H1GD,Kiwi Laranja,690.46
67OBI5,Pera Banana,67.97
T4U9P7,Kiwi Uva,810.43
PWC40A,Uva Melao,562.54
OZ7FKO,Melancia Uva,130.71
ST2Q9X,Morango Melancia,714.55
ZEMMD7,Uva Melancia,189.17
2YAVCP,Banana Abacaxi,741.75
WCSXM6,Kiwi Pera,789.16
IQQZ81,Kiwi Maca,442.58
6HBZDF,Banana Laranja,719.65
NFAE0V,Laranja Melancia,59.34
3ZYHYB,Melancia Melao,46.9
CIAC4A,Uva Pera,383.76
HKY5RY,Melao Pera,748.78
0CRU4X,Maca Uva,804.79
3BR9CB,Morango Melao,660.53
Y9A9TS,Melancia Abacaxi,29.38
5BGMR4,Uva Melao,157.83
323MXA,Abacaxi Laranja,947.37
7IQ1FJ,Melao Abacaxi,976.65
6GZHGL,Laranja Uva,998.83
85PPI7,Uva Kiwi,37.02
AKLPY3,Melao Laranja,754.93
SY9UG6,Maca Melao,387.66
LNJENZ,Maca Pera,482.5
RYCA1C,Pera Melancia,243.21
T35N98,Abacaxi Pera,161.21
767G9K,Morango Banana,915.53
X6PBHI,Kiwi Melao,313.62
WPYDP5,Kiwi Uva,486.6
KJZXCV,Melao Uva,246.04
HF7HDT,Pera Maca,107.1
K50L5S,Melao Pera,955.23
2JRXI0,Melancia Pera,449.47
WQSP7T,Morango Melao,366.79
NN3LJF,Melao Melancia,848.69
9E4E2O,Laranja Kiwi,256.88
8DP8UO,Maca Melancia,12.4
060N37,Morango Uva,693.33
JA0H6S,Banana Laranja,982.67
AT2YA3,Melancia Maca,167.73
1G8JNW,Abacaxi Morango,817.1
QW4AN8,Laranja Uva,2.83
9W927D,Uva Laranja,865.88
IYEVG8,Maca Banana,570.77
NLMPEB,Pera Melao,516.68
R7ZG0F,Uva Kiwi,574.84
AR8TEZ,Banana Melao,927.53
SEJOT1,Maca Abacaxi,277.57
3LVOLK,Pera Banana,117.08
C5SJJI,Kiwi Morango,989.41
JVGZ9J,Laranja Melancia,462.56
097KPN,Abacaxi Morango,835.48
04BE5G,Morango Melancia,309.95
B26OET,Melao Uva,525.84
29QEHU,Melancia Laranja,114.09
NKIOET,Kiwi Abacaxi,318.54
RXKJPI,Uva Laranja,763.35
CO6RVF,Melancia Abacaxi,884.63
XNQYS9,Melao Uva,290.34
4YE0CN,Kiwi Uva,208.84
XOR3VC,Abacaxi Banana,563.01
IC35KL,Abacaxi Banana,68.63
V5MIDY,Banana Laranja,808.07
T7UQ00,Pera Melancia,554.52
WYQJ43,Banana Melancia,233.5
32Y4OQ,Uva Uva,398.21
GG0Y8T,Abacaxi Pera,121.67
U13HR1,Abacaxi Pera,208.95
8NWI40,Melancia Maca,137.33
NEP12M,Maca Melancia,42.68
ET3N99,Uva Maca,944.16
0ULUS1,Banana Kiwi,975.04
2IK1L2,Pera Maca,975.18
CIV8KP,Laranja Morango,211.05
HSKYXN,Banana Kiwi,412.77
7NM9EI,Morango Laranja,238.16
3VTBG2,Melao Laranja,737.55
WJCMH5,Kiwi Maca,744.48
0AJA10,Uva Uva,306.6
JV9DFA,Kiwi Kiwi,855.38
DDWER5,Uva Abacaxi,622.41
34WI2X,Kiwi Maca,841.68
JNG14U,Pera Abacaxi,160.4
42RKO4,Morango Pera,28.76
MH0RK9,Laranja Laranja,437.35
XQIUW4,Abacaxi Abacaxi,806.48
R3XL8R,Melancia Abacaxi,755.28
YPTU6J,Melancia Abacaxi,151.16
BMNYO3,Kiwi Pera,991.11
NLRBYA,Uva Morango,43.62
9U1332,Kiwi Melancia,41.85
6ILU6S,Uva Banana,432.91
OQIOHW,Kiwi Abacaxi,122.92
3TQ9AO,Melao Morango,107.14
79K3GO,Abacaxi Abacaxi,822.3
JS2G8O,Banana Banana,582.36
3MN7QT,Banana Banana,831.96
M0KD83,Melancia Pera,938.16
T36BQB,Pera Morango,267.91
AY1GC3,Morango Melao,568.52
YN0V0Z,Abacaxi Uva,541.03
K2QQHI,Laranja Morango,5.33
GCATIH,Banana Abacaxi,368.91
8FXRTS,Pera Kiwi,687.75
VFCMUD,Melancia Laranja,947.15
CGLVRB,Laranja Uva,538.25
QR22N9,Abacaxi Melancia,683.1
8T2IU9,Kiwi Uva,685.33
BOPW6Z,Melancia Pera,88.79
TCKD5U,Uva Maca,621.75
RFZQQ3,Melancia Kiwi,988.82
6NQ9F1,Maca Morango,195.62
6GRMQB,Pera Melao,463.84
ZERU2I,Maca Laranja,774.84
HLSAZ5,Banana Abacaxi,724.36
RK2D3G,Pera Kiwi,887.47
09TBPR,Laranja Melao,835.55
B225BA,Kiwi Pera,245.34
F8LIEA,Melancia Melancia,150.44
4WMTN0,Pera Melancia,331.39
2AASZ5,Laranja Pera,874.87
WZOLEN,Kiwi Kiwi,416.7
X3042X,Kiwi Uva,864.37
VA33HE,Pera Uva,857.76
S5KMYQ,Abacaxi Maca,294.96
ESDE4M,Banana Uva,452.11
ABT4WS,Morango Pera,364.07
OBFLNY,Banana Laranja,675.71
Y3WFEG,Melao Uva,48.37
SA7SNN,Melao Melao,562.76
ANYTE8,Melancia Abacaxi,145.0
0IS0EE,Kiwi Morango,74.09
7JBPHK,Pera Maca,939.82
KOLOZF,Melao Laranja,723.37
3ZODVL,Melancia Morango,189.82
CI9MLO,Abacaxi Banana,834.95
RM5Y00,Banana Laranja,560.31
MOFYKM,Maca Banana,204.38
V5NNKO,Laranja Maca,962.66
63W0U6,Banana Abacaxi,546.34
J0IIZW,Uva Uva,205.51
M2PRBN,Melao Uva,718.31
HAH4FE,Melancia Uva,988.98
AZNE25,Maca Banana,118.61
8OKV7D,Melancia Kiwi,207.04
AOZ6Y1,Melancia Melao,259.36
8YJIXD,Uva Morango,918.04
F90075,Laranja Melao,280.53
K4DESM,Melancia Melao,515.77
BIA2B0,Maca Laranja,747.13
0GYQWK,Abacaxi Abacaxi,525.77
K6693P,Abacaxi Morango,458.77
UK87S3,Laranja Pera,60.41
8TJ568,Banana Maca,72.86
5PAMGX,Pera Uva,80.37
YZVRVH,Abacaxi Melancia,639.51
6FD6ZU,Banana Pera,59.47
MVNPEF,Morango Melao,359.67
TK2D0F,Banana Melao,82.28
YPGBR4,Uva Kiwi,833.35
XFJRAQ,Abacaxi Melao,786.56
ZHU88U,Kiwi Kiwi,196.3
032SZ2,Morango Maca,624.25
YZYX3I,Morango Laranja,524.66
847A45,Morango Abacaxi,348.43
4CKBES,Abacaxi Pera,144.73
8FS7BN,Pera Pera,690.25
K0H359,Banana Abacaxi,834.29
QSKM8Q,Abacaxi Melancia,429.17
TCKKQG,Morango Morango,270.73
O9H4SE,Abacaxi Abacaxi,222.66
GOKKB0,Uva Uva,829.3
6DAI1D,Morango Kiwi,119.93
0D2V2C,Abacaxi Morango,292.14
S84MWV,Kiwi Abacaxi,524.24
3RXV65,Abacaxi Abacaxi,143.52
R22SDJ,Banana Morango,422.43
IRZXUZ,Banana Maca,135.48
RGM5AX,Abacaxi Pera,922.31
CVQQ5Z,Kiwi Kiwi,430.59
RP6ZA8,Banana Banana,476.92
1JDTBM,Maca Melao,673.34
DBXFJR,Kiwi Melao,952.82
MJCFHM,Melao Morango,882.59
TVJ4J4,Banana Banana,174.47
Z7ML0C,Uva Morango,435.72
3A4CT8,Pera Maca,477.62
FAFV5H,Banana Uva,370.91
A4QS43,Laranja Laranja,217.17
AH6MAG,Melancia Morango,458.78
6D122G,Melancia Melancia,663.11
L400BN,Laranja Melao,774.65
PE4LRE,Abacaxi Laranja,273.04
3VSP3U,Banana Melancia,392.62
9R25HC,Abacaxi Laranja,109.83
BWVPJZ,Abacaxi Melancia,437.53
3UHMG7,Laranja Pera,801.43
B2XMHT,Kiwi Morango,90.94
DB3YXR,Melao Morango,434.84
OSQ3LY,Laranja Banana,382.47
OGIOSS,Maca Laranja,477.52
U5PNS9,Laranja Maca,630.35
0OZV69,Morango Kiwi,499.84
YDWZ7C,Maca Laranja,276.54
AAPC10,Kiwi Laranja,563.64
VIXRLD,Laranja Maca,468.11
IVEENE,Banana Laranja,693.24
QCKYXA,Uva Uva,564.49
PCV83F,Abacaxi Pera,136.03
QNSIWM,Kiwi Banana,350.42
M433PG,Uva Kiwi,731.03
NWMWGC,Melancia Banana,219.31
9YJ624,Pera Melancia,323.73
7T3IHX,Maca Banana,784.76
7HJJZ2,Pera Pera,91.22
EYTU0N,Melancia Pera,527.44
8RS0NK,Melao Uva,894.1
R1VXB6,Melao Maca,90.15
HRE2MQ,Laranja Abacaxi,635.47
BX5NJP,Abacaxi Uva,124.26
S95QA2,Melancia Kiwi,306.23
B4HBIF,Melao Melao,751.94
O9IQA6,Uva Laranja,849.06
8VAAOK,Maca Kiwi,912.86
Q45RI9,Melao Abacaxi,695.68
GJJ9VW,Morango Pera,451.2
UZ9K5F,Kiwi Melao,978.4
ZS8VVN,Maca Melancia,770.43
IQ570O,Maca Maca,676.59
MXHIU4,Pera Maca,878.78
ZRCNNJ,Morango Morango,936.33
H2MHWQ,Melao Banana,147.8
Z8PIWQ,Kiwi Abacaxi,841.13
3CFARI,Uva Melao,496.77
9SLEE5,Kiwi Laranja,660.03
KQC2EZ,Uva Kiwi,435.6
CD0XBR,Maca Melao,119.02
DTLY46,Morango Banana,664.41
S2VY9I,Maca Kiwi,279.76
C9I934,Laranja Uva,242.1
179RFX,Banana Morango,709.91
FSMM2A,Melancia Abacaxi,787.21
1LW858,Maca Uva,325.15
Q33EBG,Kiwi Pera,125.77
40O9WK,Pera Banana,90.21
5KTLP4,Uva Laranja,807.7
ZPUGX8,Abacaxi Melancia,422.68
8QNUP7,Laranja Melao,848.29
BF1HFF,Pera Morango,934.72
JPVTKZ,Pera Morango,308.9
